id,value,wagedif,relevant_wagedif_abs,wage_sign,gender_dom,relevant_wagedif_rel
0.Irodai/ugyviteli.Kepesitest nem igenylo,169,60.727482,0,1,2,1
0.Keresk/vendeglatas.Egyeb ugyintezok,224,574.3653,1,1,2,1
0.Epitoipari.Kepesitest nem igenylo,607,8.7152719,0,1,1,1
0.Szolgaltatasi.Vezetok/szakmai iranyitok,59,470.38837,1,1,1,1
0.M_kepz ugyintezok.Uzleti ugyintezok,74,327.06641,1,1,2,1
0.Oktatok/pedagodusok.Irodai/ugyviteli,75,-41.337429,0,0,2,1
0.Gazdalkodas/jog/tarstud.M_kepz ugyintezok,108,383.63885,1,1,2,1
0.Keresk/vendeglatas,9998,,1,1,2,1
0.Keresk/vendeglatas.Kepesitest nem igenylo.Keresk/vendeglatas.Kepesitest nem igenylo,211,64.55645,0,1,0,2
0.Epitoipari.Kepesitest nem igenylo.Epitoipari.Kepesitest nem igenylo,104,8.7152719,0,1,1,2
0.Kepesitest nem igenylo.Epitoipari.Kepesitest nem igenylo.Epitoipari,70,243.94368,1,1,1,3
0.Egyeb ipari/epitoipari,139,,1,1,1,1
0.Kepesitest nem igenylo.Keresk/vendeglatas.Kepesitest nem igenylo,394,64.55645,0,1,0,2
0.Epitoipari,1707,,1,1,1,1
0.Keresk/vendeglatas.Kepesitest nem igenylo.Osszeszerelok,75,404.6539,1,1,0,3
0.Keresk/vendeglatas.Epitoipari,66,173.759,0,1,1,1
0.Technikusok/muszaki.Uzleti ugyintezok,117,454.74747,1,1,0,1
0.Szolgaltatasi.Keresk/vendeglatas,291,140.02341,0,1,2,1
0.Szolgaltatasi.Fem/villamosipari,60,-25.278612,0,0,1,1
0.Konnyuipari.Kepesitest nem igenylo,415,175.28078,0,1,1,1
0.Kepesitest nem igenylo.Konnyuipari.Kepesitest nem igenylo,77,175.28078,0,1,1,3
0.Ugyfelkapcsolati.Uzleti ugyintezok.Irodai/ugyviteli,61,210.85149,0,1,2,2
0.Helyhez kotott gepkez,259,,1,1,1,1
0.Gazdalkodas/jog/tarstud.Keresk/vendeglatas,60,63.531883,0,1,0,1
0.Szolgaltatasi,2642,,1,1,0,1
0.Kepesitest nem igenylo.Elelmiszer-ipari.Kepesitest nem igenylo,127,-94.378372,0,0,1,2
0.Kepesitest nem igenylo.Muszaki/inform/termtud,89,3653.7693,1,1,1,1
0.Irodai/ugyviteli.Muszaki/inform/termtud,93,1221.7345,1,1,0,1
0.Keresk/vendeglatas.Jarmuvez/mobil gepkez,169,30.949514,0,1,1,1
0.Fegyveres (k).Szolgaltatasi,251,-511.69522,0,0,1,1
0.Fegyveres (f),70,,1,1,1,1
0.Keresk/vendeglatas.Irodai/ugyviteli.Uzleti ugyintezok,89,369.56842,1,1,2,3
0.Ugyfelkapcsolati.Szolgaltatasi,59,347.46436,1,1,0,1
0.Kepesitest nem igenylo.Epitoipari.Kepesitest nem igenylo,262,8.7152719,0,1,1,2
0.Kepesitest nem igenylo.Egyeb ipari/epitoipari,125,161.15207,0,1,1,1
0.Ugyfelkapcsolati.Uzleti ugyintezok,315,465.34787,1,1,2,1
0.Osszeszerelok.Kepesitest nem igenylo.Osszeszerelok,103,404.6539,1,1,0,3
0.Szolgaltatasi.Kepesitest nem igenylo.Szolgaltatasi,85,317.69772,1,1,1,3
0.Konnyuipari.Epitoipari,95,55.564518,0,1,1,1
0.Kepesitest nem igenylo.Feldolgozoip gepkezelok.Kepesitest nem igenylo,253,-5.1177282,0,0,1,2
0.Egyeb ugyintezok.Uzleti ugyintezok,240,604.98505,1,1,2,1
0.Jarmuvez/mobil gepkez,789,,1,1,1,1
0.Kepesitest nem igenylo.Osszeszerelok,626,404.6539,1,1,0,1
0.Uzleti ugyintezok.Egyeb ugyintezok.Uzleti ugyintezok,62,604.98505,1,1,2,3
0.Irodai/ugyviteli.Ugyfelkapcsolati,202,317.94257,1,1,2,1
0.Technikusok/muszaki.Muszaki/inform/termtud,595,870.16498,1,1,1,1
0.M_kepz ugyintezok,583,,1,1,2,1
0.Keresk/vendeglatas.Uzleti ugyintezok,866,900.1441,1,1,2,1
0.Technikusok/muszaki.Keresk/vendeglatas,89,266.47131,1,1,0,1
0.Szolgaltatasi.Keresk/vendeglatas.Kepesitest nem igenylo,60,64.55645,0,1,0,2
0.Irodai/ugyviteli.Technikusok/muszaki,98,713.65997,1,1,0,1
0.Egeszsegugyi (f),482,,1,1,2,1
0.Erdo/vadgazdalk/halaszat,126,,1,1,1,1
0.Szolgaltatasi.Irodai/ugyviteli,88,291.61401,1,1,2,1
0.Technikusok/muszaki.Muszaki/inform/termtud.Technikusok/muszaki,118,267.70187,1,1,1,2
0.Fem/villamosipari.Uzleti ugyintezok,60,743.7879,1,1,1,1
0.Kepesitest nem igenylo.Konnyuipari,191,115.60252,0,1,1,1
0.Kepesitest nem igenylo.Helyhez kotott gepkez,98,474.17801,1,1,1,1
0.Osszeszerelok.Kepesitest nem igenylo.Feldolgozoip gepkezelok,62,449.80533,1,1,1,3
0.Keresk/vendeglatas.Feldolgozoip gepkezelok.Kepesitest nem igenylo,61,-5.1177282,0,0,1,2
0.Kepesitest nem igenylo.Jarmuvez/mobil gepkez.Kepesitest nem igenylo,120,15.750889,0,1,1,2
0.Mzg,585,,1,1,1,1
0.Uzleti ugyintezok.Kepesitest nem igenylo,151,-95.994537,0,0,0,1
0.Keresk/vendeglatas.Muszaki/inform/termtud,74,2960.6299,1,1,1,1
0.Egyeb ugyintezok.Ugyfelkapcsolati,76,435.66885,1,1,2,1
0.Irodai/ugyviteli.Egyeb ugyintezok,226,356.2066,1,1,2,1
0.Muszaki/inform/termtud.Vezetok/szakmai iranyitok,119,333.26663,1,1,1,1
0.Muszaki/inform/termtud.Gazdalkodas/jog/tarstud,57,554.50098,1,1,1,1
0.Keresk/vendeglatas.Fem/villamosipari,191,394.83902,1,1,1,1
0.Ugyfelkapcsolati,1766,,1,1,2,1
0.Mzg.Kepesitest nem igenylo,230,57.312977,0,1,1,1
0.Muszaki/inform/termtud.M_kepz ugyintezok,117,334.07806,1,1,1,1
0.Osszeszerelok.Keresk/vendeglatas,203,214.45697,0,1,2,1
0.Fem/villamosipari.Jarmuvez/mobil gepkez,159,213.74222,0,1,1,1
0.Feldolgozoip gepkezelok.Keresk/vendeglatas,201,221.877,0,1,2,1
0.Irodai/ugyviteli.Oktatok/pedagodusok,57,915.96594,1,1,2,1
0.Keresk/vendeglatas.Vezetok/szakmai iranyitok.Keresk/vendeglatas.Vezetok/szakmai iranyitok,67,226.72206,0,1,0,3
0.Konnyuipari,1392,,1,1,1,1
0.Feldolgozoip gepkezelok,2189,,1,1,1,1
0.Kepesitest nem igenylo.Egyeb ugyintezok,104,534.0827,1,1,0,1
0.Uzleti ugyintezok.Gazdalkodas/jog/tarstud.M_kepz ugyintezok,60,383.63885,1,1,2,2
0.Epitoipari.Feldolgozoip gepkezelok,79,722.88605,1,1,1,1
0.Osszeszerelok.Feldolgozoip gepkezelok,325,164.8671,0,1,0,1
0.Vezetok/szakmai iranyitok.Uzleti ugyintezok,101,337.2934,1,1,0,1
0.Ugyfelkapcsolati.Kepesitest nem igenylo,132,40.040398,0,1,2,1
0.Irodai/ugyviteli.Vezetok/szakmai iranyitok,127,225.01297,0,1,2,1
0.Szolgaltatasi.Ugyfelkapcsolati,77,293.65942,1,1,2,1
0.Kepesitest nem igenylo.Epitoipari,481,243.94368,1,1,1,1
0.Kepesitest nem igenylo.Feldolgozoip gepkezelok.Osszeszerelok,70,205.63347,0,1,0,2
0.Kepesitest nem igenylo.Oktatok/pedagodusok,57,1363.1597,1,1,2,1
0.Epitoipari.Kepesitest nem igenylo.Epitoipari,236,243.94368,1,1,1,3
0.Elelmiszer-ipari.Keresk/vendeglatas,132,23.406256,0,1,0,1
0.Kepesitest nem igenylo.Keresk/vendeglatas.Kepesitest nem igenylo.Keresk/vendeglatas,107,248.87659,1,1,0,3
0.Keresk/vendeglatas.Kepesitest nem igenylo,2051,64.55645,0,1,0,1
0.Epitoipari.Fem/villamosipari,190,430.00369,1,1,1,1
0.Kepesitest nem igenylo.Fem/villamosipari.Feldolgozoip gepkezelok,58,223.14841,0,1,1,2
0.Keresk/vendeglatas.Irodai/ugyviteli,667,301.02228,1,1,2,1
0.Kepesitest nem igenylo.Fem/villamosipari,494,403.02008,1,1,1,1
0.Keresk/vendeglatas.Szocialis gondozas,58,263.99841,1,1,2,1
0.Elelmiszer-ipari.Kepesitest nem igenylo,377,-94.378372,0,0,1,1
0.Kepesitest nem igenylo.Szolgaltatasi.Kepesitest nem igenylo,199,57.190861,0,1,1,2
0.Keresk/vendeglatas.Technikusok/muszaki,220,649.79871,1,1,1,1
0.Fegyveres (a),160,,1,1,1,1
0.Keresk/vendeglatas.Uzleti ugyintezok.Ugyfelkapcsolati,105,-121.77542,0,0,2,2
0.Kepesitest nem igenylo.Jarmuvez/mobil gepkez,356,241.30574,0,1,1,1
0.Keresk/vendeglatas.Ugyfelkapcsolati.Keresk/vendeglatas,323,97.111343,0,1,2,2
0.Osszeszerelok.Technikusok/muszaki,93,509.43506,1,1,1,1
0.Szolgaltatasi.Uzleti ugyintezok,147,654.25256,1,1,0,1
0.Fem/villamosipari.Technikusok/muszaki,188,556.53552,1,1,1,1
0.Uzleti ugyintezok.Irodai/ugyviteli,538,210.85149,0,1,2,1
0.Uzleti ugyintezok.M_kepz ugyintezok,162,458.07889,1,1,2,1
0.Keresk/vendeglatas.Szolgaltatasi.Keresk/vendeglatas,118,140.02341,0,1,2,2
0.Ugyfelkapcsolati.Irodai/ugyviteli,238,150.1003,0,1,2,1
0.Technikusok/muszaki.Kepesitest nem igenylo,98,-126.27296,0,0,1,1
0.Kepesitest nem igenylo.Technikusok/muszaki,248,1108.5721,1,1,1,1
0.Kepesitest nem igenylo.Vezetok/szakmai iranyitok,130,482.3027,1,1,1,1
0.Keresk/vendeglatas.Vezetok/szakmai iranyitok,606,226.72206,0,1,0,1
0.Muszaki/inform/termtud.Uzleti ugyintezok,59,314.95038,1,1,1,1
0.Ugyfelkapcsolati.Egyeb ugyintezok,84,288.44452,1,1,2,1
0.Keresk/vendeglatas.Uzleti ugyintezok.Irodai/ugyviteli,90,210.85149,0,1,2,2
0.Keresk/vendeglatas.Kepesitest nem igenylo.Szolgaltatasi,93,317.69772,1,1,1,3
0.Feldolgozoip gepkezelok.Kepesitest nem igenylo,572,-5.1177282,0,0,1,1
0.Szocialis (f),64,,1,1,2,1
0.Keresk/vendeglatas.Kepesitest nem igenylo.Uzleti ugyintezok,58,700.8631,1,1,1,3
0.Uzleti ugyintezok.Muszaki/inform/termtud,86,966.83423,1,1,1,1
0.Kepesitest nem igenylo.Szolgaltatasi,502,317.69772,1,1,1,1
0.Feldolgozoip gepkezelok.Konnyuipari,93,200.71286,0,1,1,1
0.Okt asszisztens,199,,1,1,2,1
0.Irodai/ugyviteli.Gazdalkodas/jog/tarstud,190,960.80066,1,1,2,1
0.Keresk/vendeglatas.Ugyfelkapcsolati.Irodai/ugyviteli,70,150.1003,0,1,2,2
0.Szolgaltatasi.Egeszsegugyi,110,432.06256,1,1,2,1
0.Feldolgozoip gepkezelok.Technikusok/muszaki,124,386.40128,1,1,1,1
0.Keresk/vendeglatas.Uzleti ugyintezok.Vezetok/szakmai iranyitok,59,240.74156,0,1,0,2
0.Gazdalkodas/jog/tarstud.Vezetok/szakmai iranyitok,102,369.51068,1,1,0,1
0.Egyeb ugyintezok,1259,,1,1,2,1
0.Gazdalkodas/jog/tarstud.Uzleti ugyintezok.Gazdalkodas/jog/tarstud,85,616.22559,1,1,2,3
0.Ugyfelkapcsolati.Technikusok/muszaki,98,720.37665,1,1,0,1
0.Fem/villamosipari.Kepesitest nem igenylo,549,29.232962,0,1,1,1
0.Konnyuipari.Keresk/vendeglatas,104,290.20987,1,1,0,1
0.Muszaki/inform/termtud,1453,,1,1,1,1
0.Kepesitest nem igenylo.Szocialis gondozas,88,438.7005,1,1,2,1
0.Keresk/vendeglatas.Feldolgozoip gepkezelok,306,395.76724,1,1,2,1
0.Uzleti ugyintezok.Gazdalkodas/jog/tarstud.Uzleti ugyintezok,154,334.79681,1,1,2,2
0.Uzleti ugyintezok.Vezetok/szakmai iranyitok,200,240.74156,0,1,0,1
0.Kepesitest nem igenylo.Ugyfelkapcsolati,146,751.80682,1,1,2,1
0.Elelmiszer-ipari.Kepesitest nem igenylo.Elelmiszer-ipari,66,265.75912,1,1,1,3
0.Technikusok/muszaki.Egyeb ugyintezok,58,380.87766,1,1,0,1
0.Irodai/ugyviteli.M_kepz ugyintezok,96,656.91144,1,1,2,1
0.Keresk/vendeglatas.Konnyuipari,89,-173.14552,0,0,0,1
