id,value,relevant_wagedif_abs,relevant_wagedif_rel
0.38.34,132,0,1
0.38.44,80,0,1
0.38.48,377,0,1
0.38.48.38,66,1,3
0.39,1392,1,1
0.39.34,104,1,1
0.39.40,77,0,1
0.39.42,95,0,1
0.39.44,157,1,1
0.39.45,73,1,1
0.39.48,415,0,1
0.39.48.39,56,0,2
0.40,2667,1,1
0.40.24,188,1,1
0.40.29,60,1,1
0.40.34,152,0,1
0.40.35,99,0,1
0.40.42,147,0,1
0.40.42.40,58,1,3
0.40.44,241,0,1
0.40.44.40,63,1,3
0.40.45,211,0,1
0.40.47,159,0,1
0.40.48,549,0,1
0.40.48.40,144,1,3
0.41,161,1,1
0.42,1707,1,1
0.42.34,82,1,1
0.42.40,190,1,1
0.42.44,79,1,1
0.42.45,57,1,1
0.42.47,60,1,1
0.42.48,607,0,1
0.42.48.42,236,1,3
0.42.48.42.48,104,0,2
0.43,139,1,1
0.43.48,56,0,1
0.44,2189,1,1
0.44.24,124,1,1
0.44.34,201,0,1
0.44.34.48,57,0,2
0.44.35,73,1,1
0.44.39,93,0,1
0.44.40,214,1,1
0.44.42,67,0,1
0.44.45,293,0,1
0.44.45.44,65,0,2
0.44.45.48,81,0,2
0.44.48,572,0,1
0.44.48.44,97,1,3
0.44.48.45,66,1,3
0.45,1972,1,1
0.45.24,93,1,1
0.45.34,203,0,1
0.45.35,66,1,1
0.45.40,177,1,1
0.45.44,325,0,1
0.45.44.45,88,0,3
0.45.44.48,73,0,2
0.45.48,571,0,1
0.45.48.44,62,1,3
0.45.48.45,103,1,3
0.46,259,1,1
0.46.48,62,0,1
0.47,789,1,1
0.47.34,63,0,1
0.47.48,152,0,1
0.48,9577,1,1
0.48.15,130,1,1
0.48.17,89,1,1
0.48.20,57,1,1
0.48.24,248,1,1
0.48.28,88,1,1
0.48.29,312,1,1
0.48.31,104,1,1
0.48.32,285,1,1
0.48.32.48,70,0,2
0.48.33,146,1,1
0.48.34,1068,1,1
0.48.34.29,66,1,3
0.48.34.48,394,0,2
0.48.34.48.34,107,1,3
0.48.35,502,1,1
0.48.35.48,199,0,2
0.48.36,196,0,1
0.48.36.48,122,0,2
0.48.37,87,0,1
0.48.38,239,1,1
0.48.38.48,127,0,2
0.48.39,191,0,1
0.48.39.48,77,0,3
0.48.40,494,1,1
0.48.40.44,58,0,2
0.48.40.48,177,0,2
0.48.42,481,1,1
0.48.42.48,262,0,2
0.48.42.48.42,70,1,3
0.48.43,125,0,1
0.48.43.48,74,0,2
0.48.44,630,1,1
0.48.44.45,70,0,2
0.48.44.48,253,0,2
0.48.45,626,1,1
0.48.45.44,72,0,2
0.48.45.48,269,0,2
0.48.46,98,1,1
0.48.47,356,0,1
0.48.47.48,120,0,2
