id,value,relevant_wagedif_abs,relevant_wagedif_rel
0.Egyeb ugyintezok.Keresk/vendeglatas,80,1,1
0.Keresk/vendeglatas.Feldolgozoip gepkezelok.Keresk/vendeglatas,72,0,2
0.Fem/villamosipari.Osszeszerelok,211,0,1
0.Keresk/vendeglatas.Irodai/ugyviteli.Uzleti ugyintezok,89,1,3
0.Muszaki/inform/termtud,1453,1,1
0.Technikusok/muszaki.Irodai/ugyviteli,98,0,1
0.Keresk/vendeglatas.Uzleti ugyintezok,866,1,1
0.Konnyuipari.Kepesitest nem igenylo.Konnyuipari,56,0,2
0.Uzleti ugyintezok.Technikusok/muszaki,123,1,1
0.Keresk/vendeglatas.Osszeszerelok.Keresk/vendeglatas,78,0,2
0.Keresk/vendeglatas.Jarmuvez/mobil gepkez,169,0,1
0.Gazdalkodas/jog/tarstud.M_kepz ugyintezok,108,1,1
0.Gazdalkodas/jog/tarstud.Vezetok/szakmai iranyitok,102,1,1
0.Kepesitest nem igenylo.Irodai/ugyviteli,285,1,1
0.Fem/villamosipari.Keresk/vendeglatas,152,0,1
0.Uzleti ugyintezok.Keresk/vendeglatas,304,0,1
0.Keresk/vendeglatas.Egeszsegugyi,89,1,1
0.Egyeb ipari/epitoipari,139,1,1
0.Konnyuipari.Keresk/vendeglatas,104,1,1
0.Szolgaltatasi.Kepesitest nem igenylo.Szolgaltatasi,85,1,3
0.Irodai/ugyviteli.Vezetok/szakmai iranyitok,127,0,1
0.Konnyuipari.Osszeszerelok,73,1,1
0.Elelmiszer-ipari.Keresk/vendeglatas,132,0,1
0.Kepesitest nem igenylo.Epitoipari.Kepesitest nem igenylo,262,0,2
0.Egeszsegugyi.Egeszsegugyi (f),57,1,1
0.Kepesitest nem igenylo,9577,1,1
0.Konnyuipari.Epitoipari,95,0,1
0.Uzleti ugyintezok.Vezetok/szakmai iranyitok,200,0,1
0.Kepesitest nem igenylo.Feldolgozoip gepkezelok,630,1,1
0.Fem/villamosipari.Feldolgozoip gepkezelok.Fem/villamosipari,63,1,3
0.Fem/villamosipari.Feldolgozoip gepkezelok,241,0,1
0.Irodai/ugyviteli.Technikusok/muszaki,98,1,1
0.Irodai/ugyviteli.Egyeb ugyintezok,226,1,1
0.Muszaki/inform/termtud.Technikusok/muszaki.Muszaki/inform/termtud,86,1,3
0.Uzleti ugyintezok.Gazdalkodas/jog/tarstud.M_kepz ugyintezok,60,1,2
0.Szolgaltatasi.Egeszsegugyi,110,1,1
0.Kepesitest nem igenylo.Elelmiszer-ipari.Kepesitest nem igenylo,127,0,2
0.Kepesitest nem igenylo.Egyeb ugyintezok,104,1,1
0.Uzleti ugyintezok.Szolgaltatasi,82,0,1
0.Keresk/vendeglatas.Egyeb ugyintezok,224,1,1
0.Egyeb ugyintezok.Muszaki/inform/termtud,61,1,1
0.Kepesitest nem igenylo.Keresk/vendeglatas.Kepesitest nem igenylo,394,0,2
0.Irodai/ugyviteli.M_kepz ugyintezok,96,1,1
0.Fegyveres (f),70,1,1
0.Keresk/vendeglatas.Ugyfelkapcsolati.Keresk/vendeglatas,323,0,2
0.Muszaki/inform/termtud.Technikusok/muszaki,200,1,1
0.Szolgaltatasi.Technikusok/muszaki,57,1,1
0.Kult/sport/muv/vallas (f),288,1,1
0.Epitoipari.Jarmuvez/mobil gepkez,60,1,1
0.Kezmuipari,161,1,1
0.Ugyfelkapcsolati.Uzleti ugyintezok,315,1,1
0.Irodai/ugyviteli.Keresk/vendeglatas,216,1,1
0.Muv/kult/sport/vallas,369,1,1
0.Keresk/vendeglatas.Kepesitest nem igenylo.Keresk/vendeglatas,725,1,3
0.Kepesitest nem igenylo.Jarmuvez/mobil gepkez.Kepesitest nem igenylo,120,0,2
0.Osszeszerelok.Szolgaltatasi,66,1,1
0.Irodai/ugyviteli.Gazdalkodas/jog/tarstud,190,1,1
0.Kepesitest nem igenylo.Osszeszerelok.Feldolgozoip gepkezelok,72,0,2
0.M_kepz ugyintezok.Gazdalkodas/jog/tarstud,93,1,1
0.Feldolgozoip gepkezelok.Szolgaltatasi,73,1,1
0.Epitoipari.Fem/villamosipari,190,1,1
0.Egyeb ugyintezok.Uzleti ugyintezok,240,1,1
0.Keresk/vendeglatas.Uzleti ugyintezok.Keresk/vendeglatas,193,0,2
0.Egeszsegugyi,616,1,1
0.Keresk/vendeglatas.Elelmiszer-ipari,135,1,1
0.Keresk/vendeglatas.Vezetok/szakmai iranyitok.Keresk/vendeglatas,259,0,2
0.Keresk/vendeglatas.Szolgaltatasi,506,0,1
0.Kepesitest nem igenylo.Jarmuvez/mobil gepkez,356,0,1
0.Kepesitest nem igenylo.Fem/villamosipari.Feldolgozoip gepkezelok,58,0,2
0.Szolgaltatasi.Ugyfelkapcsolati,77,1,1
0.Vezetok/szakmai iranyitok.Keresk/vendeglatas,97,0,1
0.Feldolgozoip gepkezelok.Kepesitest nem igenylo.Osszeszerelok,66,1,3
0.Fem/villamosipari.Epitoipari,147,0,1
0.Epitoipari.Feldolgozoip gepkezelok,79,1,1
0.Kepesitest nem igenylo.Irodai/ugyviteli.Kepesitest nem igenylo,70,0,2
0.Helyhez kotott gepkez.Kepesitest nem igenylo,62,0,1
0.Szolgaltatasi.Fegyveres (k),73,0,1
0.M_kepz ugyintezok,583,1,1
0.Egeszsegugyi (f),482,1,1
0.M_kepz ugyintezok.Uzleti ugyintezok,74,1,1
0.Gazdalkodas/jog/tarstud.Keresk/vendeglatas,60,0,1
0.Kepesitest nem igenylo.Keresk/vendeglatas.Uzleti ugyintezok,66,1,3
0.Muszaki/inform/termtud.Gazdalkodas/jog/tarstud,57,1,1
0.Ugyfelkapcsolati.Irodai/ugyviteli,238,0,1
0.Mzg.Kepesitest nem igenylo,230,0,1
0.Kepesitest nem igenylo.Epitoipari,481,1,1
0.Kepesitest nem igenylo.Mzg.Kepesitest nem igenylo,122,0,2
0.Keresk/vendeglatas.Szocialis gondozas,58,1,1
0.Osszeszerelok.Keresk/vendeglatas,203,0,1
0.Uzleti ugyintezok.Kepesitest nem igenylo,151,0,1
0.Kepesitest nem igenylo.Szolgaltatasi.Kepesitest nem igenylo,199,0,2
0.Fem/villamosipari.Kepesitest nem igenylo.Fem/villamosipari,144,1,3
0.Keresk/vendeglatas.Ugyfelkapcsolati.Uzleti ugyintezok,83,1,3
0.Egyeb ugyintezok.M_kepz ugyintezok,75,1,1
0.Fem/villamosipari.Jarmuvez/mobil gepkez,159,0,1
0.Elelmiszer-ipari,1066,1,1
0.Kepesitest nem igenylo.Konnyuipari.Kepesitest nem igenylo,77,0,3
0.Keresk/vendeglatas.Gazdalkodas/jog/tarstud,172,1,1
0.Elelmiszer-ipari.Kepesitest nem igenylo.Elelmiszer-ipari,66,1,3
0.Jarmuvez/mobil gepkez,789,1,1
0.Egyeb ugyintezok.Irodai/ugyviteli,157,0,1
0.Osszeszerelok.Kepesitest nem igenylo.Feldolgozoip gepkezelok,62,1,3
0.Kepesitest nem igenylo.Keresk/vendeglatas,1068,1,1
0.Feldolgozoip gepkezelok.Technikusok/muszaki,124,1,1
